EQP_ID,SR_CODE,CNTRWK_NM,DIA_CODE,PIPE_PRESS,PLINE_LT,COMPET_DE,QLTY_GRADE,MIN_DPH,MAX_DPH,AVG_DPH,coordinates
30102172,S,성남 분당지구 지역난방 열배관공사(제1공구),100,16,82.92,19931231,A,1.5,1.5,1.5,"[[127.1244446, 37.3716211, 53.32], [127.1244802, 37.3715842, 53.35], [127.1251161, 37.3720357, 53.44], [127.1250918, 37.372045, 53.64]]"
30103143,S,94 분당1공구 지역난방 열배관 추가공사,40,16,9.59,19951130,B,1.4,1.5,1.42,"[[127.1386939, 37.4149407, 38.49], [127.1386543, 37.4149557, 38.44], [127.1386718, 37.414991, 38.44], [127.1386875, 37.414986, 38.4784]]"
30103144,R,분당지사 '97 추가사용자 열배관공사,40,16,6.74,19980930,A,1.64,3.05,2.36,"[[127.1332694, 37.4109242, 48.85], [127.133289, 37.4109386, 48.85], [127.1332895, 37.410938, 48.85], [127.1333199, 37.4109077, 48.85]]"
30101963,S,분당지사 '97 추가사용자 열배관공사,50,16,13.88,19980930,B,1.0,2.5,1.48,"[[127.1267351, 37.3426527, 93.796], [127.1266984, 37.342636, 95.76], [127.1266598, 37.3426924, 95.5], [127.1266354, 37.3426807, 95.5]]"
30104758,R,2011년 분당지사 열배관공사,65,16,2.64,20121025,A,0.5,0.9,0.73,"[[127.121744, 37.3863041, 34.128], [127.1217396, 37.3863008, 33.78], [127.1217231, 37.3862886, 33.861]]"
30105722,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),150,16,51.98,19951231,A,0.79,1.5,1.15,"[[127.1144196, 37.3378591, 54.94], [127.1144347, 37.3373907, 54.963]]"
30106975,R,성남 분당지구 지역난방 열배관공사(제1공구),125,16,26.73,19931231,A,1.4,1.8,1.56,"[[127.1224107, 37.3958644, 33.75], [127.1224121, 37.3959087, 33.75], [127.1223201, 37.3959095, 33.72], [127.122319, 37.3959723, 33.75], [127.1222431, 37.3959738, 33.78]]"
30106976,R,성남 분당지구 지역난방 열배관공사(제1공구),125,16,1.38,19931231,A,1.4,1.4,1.4,"[[127.1222431, 37.3959738, 33.78], [127.1222275, 37.3959739, 33.78]]"
30103877,S,성남분당지구 열배관 및 열공급 시설공사(제2공구),200,16,75.8,19951231,B,0.9,1.5,1.2,"[[127.1117917, 37.3614972, 49.849], [127.1117969, 37.3609129, 52.33], [127.1117969, 37.3608144, 52.33]]"
30106916,R,94 분당1공구 지역난방 열배관 추가공사,150,16,3.98,19951130,A,1.2,1.2,1.2,"[[127.1436041, 37.4062934, 53.26], [127.143621, 37.4063267, 53.26]]"
30101973,S,성남 분당지구 지역난방 열배관공사(제1공구),50,16,2.04,19931231,B,1.4,1.4,1.4,"[[127.1447511, 37.4128503, 47.82], [127.144746, 37.4128682, 47.82]]"
30101974,R,성남 분당지구 지역난방 열배관공사(제1공구),50,16,2.57,19931231,A,1.4,1.4,1.4,"[[127.1447555, 37.4128462, 47.82], [127.1447491, 37.4128688, 47.82]]"
30103337,S,2002년도 분당지사 열배관공사,125,16,3.66,20030530,A,1.3,1.3,1.3,"[[127.1052734, 37.3702976, 42.38], [127.1052678, 37.3702783, 42.38], [127.1052517, 37.3702813, 42.38]]"
30108239,R,2014년 분당사업소 열배관시설 유지보수공사,200,16,7.15,20160804,B,0.83,0.85,0.83,"[[127.1110205, 37.3494055, 53.427], [127.1110197, 37.3493411, 53.431]]"
30102984,R,분당지구 열배관 증설공사(제2공구),700,16,8.93,19981031,A,2.0,2.0,2.0,"[[127.1097476, 37.3629132, 42.45], [127.1097462, 37.3629009, 42.45], [127.1097384, 37.362833, 42.52]]"
30102986,S,분당지구 열배관 증설공사(제2공구),700,16,7.62,19981031,B,2.0,2.0,2.0,"[[127.109733, 37.3629131, 42.45], [127.1097313, 37.3629008, 42.45], [127.1097235, 37.3628449, 42.52]]"
30106773,R,분당지사 '97 추가사용자 열배관공사,50,16,31.27,19980930,A,0.9,0.9,0.9,"[[127.1159966, 37.3797684, 36.99], [127.1159203, 37.3797127, 37.0], [127.1157608, 37.3798459, 37.0], [127.1157743, 37.3798566, 37.0]]"
30104184,S,분당지점 '96 추가사용자 열배관공사,100,16,2.86,19970731,A,1.2,1.2,1.2,"[[127.1157557, 37.3455613, 54.9], [127.1157234, 37.3455617, 54.9]]"
30104185,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),100,16,26.81,19951231,A,0.08,1.6,0.41,"[[127.1135356, 37.345116, 54.14], [127.1134788, 37.3451134, 54.1], [127.1134679, 37.3452198, 54.14], [127.1133758, 37.345222, 54.28], [127.1133569, 37.3452167, 54.28]]"
30102199,R,성남 분당지구 지역난방 열배관공사(제1공구),100,16,6.01,19931231,B,1.5,1.7,1.6,"[[127.1155466, 37.3786341, 37.23], [127.1155921, 37.3785939, 37.244]]"
30114842,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),200,16,16.44,19951231,B,0.05,0.83,0.44,"[[127.1110211, 37.3492655, 53.372], [127.1110227, 37.3491764, 53.741], [127.1110229, 37.3491174, 53.737]]"
30102812,R,2015년 분당사업소 열배관 추가 및 개선공사,300,16,7.62,20170810,A,1.5,1.7,1.55,"[[127.1314574, 37.377221, 48.8569], [127.1314545, 37.3772193, 48.859], [127.1314007, 37.3771843, 48.79], [127.1313946, 37.3771803, 48.782]]"
30102744,S,성남 분당지구 지역난방 열배관공사(제1공구),100,16,74.12,19931231,B,1.1,1.7,1.38,"[[127.1210505, 37.3731395, 42.89], [127.1206464, 37.3735159, 41.28], [127.1206994, 37.3735523, 44.47], [127.120628, 37.3736193, 44.52], [127.1206439, 37.3736367, 44.52]]"
30102144,S,성남분당지구 열배관 및 열공급 시설공사(제2공구),125,16,29.94,19951231,B,1.4,1.8,1.57,"[[127.1168131, 37.368511, 52.8508], [127.1168143, 37.3685413, 52.78], [127.1171142, 37.3685343, 53.31]]"
30102145,S,성남분당지구 열배관 및 열공급 시설공사(제2공구),125,16,10.85,19951231,A,1.0,1.7,1.35,"[[127.1185798, 37.3687798, 51.505], [127.1186738, 37.3688425, 51.694]]"
